longitude,latitude,image_direction,weather
114.117283113000084,22.277437419000023,Back,cloudy
114.117389926000101,22.276339514000028,Back,cloudy
114.117500518000043,22.275970765000068,Back,cloudy
114.117504186999994,22.277757465000040,Back,cloudy
114.117634924000086,22.278119812000057,Back,cloudy
114.117717836000125,22.278483923000067,Back,cloudy
114.117797532000040,22.275079094000034,Back,cloudy
114.117827221000084,22.278856908000023,Back,cloudy
114.117925485000114,22.279233330000068,Back,cloudy
114.118008444000125,22.274752207000063,Back,cloudy
114.118033894000064,22.279606751000081,Back,cloudy
114.118231317000081,22.279938843000025,Back,cloudy
114.118510820000083,22.274236708000046,Back,cloudy
114.118525056000081,22.280193435000047,Back,cloudy
114.118544722999999,22.274527053000043,Back,cloudy
114.118618350999995,22.275997074000031,Back,cloudy
114.118647773999996,22.276354952000080,Back,cloudy
114.118828728000040,22.280436608000056,Back,cloudy
114.118888226000081,22.275381339000035,Back,cloudy
114.119019119000086,22.275014983000062,Back,cloudy
114.119034438000085,22.273664764000049,Back,cloudy
114.119063527000080,22.274633116000075,Back,cloudy
114.119151504000115,22.280652647000068,Back,cloudy
114.119219494000035,22.276858204000064,Back,cloudy
114.119292177000034,22.274320124000042,Back,cloudy
114.119486731000038,22.276693533000071,Back,cloudy
114.119491000000039,22.280842313000047,Back,cloudy
114.119716596000103,22.277602684000044,Back,cloudy
114.119763145000078,22.276899202000038,Back,cloudy
114.119856407000043,22.277275040000063,Back,cloudy
114.119875725000043,22.274058851000063,Back,cloudy
114.119964451000101,22.280960669000024,Back,cloudy
114.120320207000077,22.276247810000029,Back,cloudy
114.120351117000041,22.277346030000047,Back,cloudy
114.120464301000084,22.281473710000057,Back,cloudy
114.120836720000042,22.281579381000029,Back,cloudy
114.121202266000040,22.281712404000075,Back,cloudy
114.121572111000077,22.281833088000042,Back,cloudy
114.121941954999997,22.281953771000079,Back,cloudy
114.122491965000080,22.282133234000071,Back,cloudy
114.122870382000073,22.282256693000026,Back,cloudy
114.123206379000081,22.282213051000038,Back,cloudy
114.123604709000006,22.281886320000069,Back,cloudy
114.123737649000077,22.281217203000040,Back,cloudy
114.123745577999998,22.281516119000056,Back,cloudy
114.123988500000124,22.281949992000023,Back,cloudy
114.124121263000006,22.281615119000040,Back,cloudy
114.124186607000084,22.281295591000060,Back,cloudy
114.124372291000100,22.282013663000043,Back,cloudy
114.124440419000038,22.281820111000048,Back,cloudy
114.124820779000061,22.281896043000074,Back,cloudy
114.124949867000041,22.281274549000045,Back,cloudy
114.125205545000085,22.281953531000056,Back,cloudy
114.125898641000035,22.283231671000067,Back,cloudy
114.125955054000073,22.282908118000023,Back,cloudy
114.126105525000085,22.274198803000047,Back,cloudy
114.126196347000004,22.283678895000040,Back,cloudy
114.126198058000114,22.281930861000035,Back,cloudy
114.126274323000075,22.281549373000075,Back,cloudy
114.126698972000085,22.281225748000047,Back,cloudy
114.126892895000083,22.283094291000047,Back,cloudy
114.126934633999994,22.281999679000023,Back,cloudy
114.127007879000075,22.274482294000048,Back,cloudy
114.127014062000043,22.281618837000053,Back,cloudy
114.127026220000062,22.282409935000032,Back,cloudy
114.127148687000044,22.283844008000081,Back,cloudy
114.127171246000103,22.282780252000062,Back,cloudy
114.127276611000084,22.283158412000034,Back,cloudy
114.127409626000045,22.282475880000050,Back,cloudy
114.127529748000001,22.283919346000065,Back,cloudy
114.127554648000114,22.282846226000061,Back,cloudy
114.127660327000044,22.283222534000060,Back,cloudy
114.127793033000103,22.282541826000056,Back,cloudy
114.127938049999997,22.282912199000062,Back,cloudy
114.127969576000041,22.283668498000047,Back,cloudy
114.128026440000085,22.283997313000043,Back,cloudy
114.128164228000060,22.283306732000028,Back,cloudy
114.128189871999993,22.284187812000027,Back,cloudy
114.128251703000046,22.282226084000047,Back,cloudy
114.128299180000127,22.282628878000025,Back,cloudy
114.128354713999997,22.281624377000071,Back,cloudy
114.128422578000041,22.280967902000043,Back,cloudy
114.128547947000001,22.283370831000081,Back,cloudy
114.128561266999995,22.284303328000082,Back,cloudy
114.128677193000044,22.282079143000040,Back,cloudy
114.128682589000036,22.282694811000056,Back,cloudy
114.128710725999994,22.279194415000063,Back,cloudy
114.128737351000041,22.279579184000056,Back,cloudy
114.128869105000035,22.283748807000048,Back,cloudy
114.128901727000084,22.284150650000072,Back,cloudy
114.129059455000061,22.282151432000035,Back,cloudy
114.129062827000084,22.278116981000039,Back,cloudy
114.129081827000036,22.284572794000042,Back,cloudy
114.129093917000077,22.280617558000081,Back,cloudy
114.129142097000127,22.282379223000081,Back,cloudy
114.129281423000080,22.280239441000049,Back,cloudy
114.129293937000043,22.275652343000047,Back,cloudy
114.129383188999995,22.284818771000065,Back,cloudy
114.129425916000045,22.279878597000049,Back,cloudy
114.129448613999998,22.282830461000060,Back,cloudy
114.129458340000042,22.276004210000053,Back,cloudy
114.129506042000116,22.277607021000048,Back,cloudy
114.129566630000113,22.282238676000080,Back,cloudy
114.129574110000021,22.276375274000031,Back,cloudy
114.129633033000005,22.284974948000080,Back,cloudy
114.129669284000101,22.275763709000049,Back,cloudy
114.129682378000084,22.277141074000038,Back,cloudy
114.129694852000043,22.285051614000054,Back,cloudy
114.129787923000080,22.283012645000039,Back,cloudy
114.129929082000103,22.282377269000047,Back,cloudy
114.129967010000087,22.281489230000041,Back,cloudy
114.130084042000021,22.284158685000023,Back,cloudy
114.130100987000105,22.283243347000049,Back,cloudy
114.130260604000114,22.282579987000080,Back,cloudy
114.130392575000073,22.282913676000081,Back,cloudy
114.130423036000025,22.283504933000074,Back,cloudy
114.130605274000118,22.285839952000060,Back,cloudy
114.130662628000081,22.277317975000081,Back,cloudy
114.130724991000079,22.283750234000024,Back,cloudy
114.130890475000115,22.285815505000080,Back,cloudy
114.131026948000127,22.283995534000042,Back,cloudy
114.131039358000081,22.278411877000053,Back,cloudy
114.131153010000034,22.285032892000061,Back,cloudy
114.131164042000023,22.285538899000080,Back,cloudy
114.131395747000042,22.286583902000075,Back,cloudy
114.131468606000126,22.285293533000072,Back,cloudy
114.131480928000073,22.284364518000075,Back,cloudy
114.131483649000074,22.280438725000067,Back,cloudy
114.131662550000101,22.286867037000039,Back,cloudy
114.131672787000085,22.281598264000024,Back,cloudy
114.131684063000080,22.278402462000031,Back,cloudy
114.131720011000084,22.284997850000025,Back,cloudy
114.131769869000081,22.286741916000040,Back,cloudy
114.131782769000083,22.284609959000026,Back,cloudy
114.131924248999994,22.281452930000057,Back,cloudy
114.131929352000043,22.287150173000043,Back,cloudy
114.131998222000107,22.287079545000040,Back,cloudy
114.132084387000077,22.286970661000048,Back,cloudy
114.132199268000022,22.285049854000079,Back,cloudy
114.132210651000037,22.287418867000039,Back,cloudy
114.132279596000103,22.281911816000047,Back,cloudy
114.132294327000039,22.287331703000063,Back,cloudy
114.132354628000044,22.285405221000079,Back,cloudy
114.132394681000036,22.287205313000072,Back,cloudy
114.132529008000006,22.287638913000023,Back,cloudy
114.132584329000125,22.286044830000041,Back,cloudy
114.132635089999994,22.287515745000064,Back,cloudy
114.132700229000079,22.283146515000048,Back,cloudy
114.132715821000033,22.286410972000056,Back,cloudy
114.132804175000047,22.286646550000057,Back,cloudy
114.133012192000024,22.287607083000069,Back,cloudy
114.133137882000000,22.283664252000047,Back,cloudy
114.133184009000047,22.286562433000029,Back,cloudy
114.133610575000034,22.284123333000025,Back,cloudy
114.133789971000041,22.285708921000040,Back,cloudy
114.133801680000033,22.286076589000061,Back,cloudy
114.133943676000044,22.286394197000050,Back,cloudy
114.134063103000003,22.284329241000023,Back,cloudy
114.134233146000042,22.287475140000023,Back,cloudy
114.134247153000047,22.285974317000068,Back,cloudy
114.134259394000082,22.285571070000060,Back,cloudy
114.134449186000083,22.284324608000080,Back,cloudy
114.134488834000081,22.286272825000022,Back,cloudy
114.134637467000061,22.285479360000068,Back,cloudy
114.134868360000041,22.286187326000061,Back,cloudy
114.134944691000101,22.284197320000040,Back,cloudy
114.135212148000036,22.285699574000034,Back,cloudy
114.135291413000004,22.284028097000032,Back,cloudy
114.135307738000037,22.286087982000023,Back,cloudy
114.135352773000022,22.286476459000028,Back,cloudy
114.135484100000085,22.287201197000048,Back,cloudy
114.135494281000078,22.284979496000062,Back,cloudy
114.135620537000023,22.287352496000040,Back,cloudy
114.135701527000037,22.285323773000080,Back,cloudy
114.135721300000114,22.283670596000039,Back,cloudy
114.135730968000075,22.286779603000070,Back,cloudy
114.135742447000084,22.284496833000048,Back,cloudy
114.135809385000002,22.288164965000082,Back,cloudy
114.135863503000124,22.287280491000047,Back,cloudy
114.136005322000074,22.284307050000049,Back,cloudy
114.136054024000046,22.285226202000047,Back,cloudy
114.136065793000043,22.285912621000023,Back,cloudy
114.136115885000081,22.284817056000065,Back,cloudy
114.136187309000078,22.288257287000079,Back,cloudy
114.136212566000040,22.287450374000056,Back,cloudy
114.136365623000074,22.287195758000053,Back,cloudy
114.136435735000077,22.285151057000064,Back,cloudy
114.136444820000079,22.285824941000044,Back,cloudy
114.136466037000105,22.283539645000079,Back,cloudy
114.136496547000078,22.284736771000041,Back,cloudy
114.136565232000081,22.288349608000040,Back,cloudy
114.136588521000022,22.286515141000049,Back,cloudy
114.136962686000061,22.285827419000043,Back,cloudy
114.136981515000116,22.288451297000048,Back,cloudy
114.137133557000084,22.287003664000054,Back,cloudy
114.137286145000076,22.286043367000048,Back,cloudy
114.137359440000040,22.288543616000027,Back,cloudy
114.137382695000042,22.287475107000034,Back,cloudy
114.137482535000117,22.285388211000047,Back,cloudy
114.137608170000021,22.286261508000049,Back,cloudy
114.137669811000023,22.287151409000050,Back,cloudy
